benchmark,network_id,network,domain,fold,method_id,average_precision,roc_auc,precision,recall,f1,ndcg,cutoff,positive_count,negative_count,candidate_count,distinct_score_count,tie_group_count,tied_candidate_count,tied_candidate_ratio,largest_tie_group,cutoff_score,cutoff_tie_size,cutoff_tie_positive_count,cutoff_tie_negative_count,cutoff_slots_in_tie,cutoff_tie_crosses_boundary,negative_ratio,is_primary_ratio,family,method
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,aa,0.9655865540122782,0.9654405903526,0.9390178089584458,0.9390178089584458,0.9390178089584458,0.9488959225975874,1853,1853,1853,3706,1202,135,2639,0.7120885051268214,1971,0.0,1971,127,1844,118,True,1,True,local_similarity,AA
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,car_aa,0.8421478683216406,0.8421478683216406,0.7614678899082569,0.7614678899082569,0.7614678899082569,0.7962597987390844,1853,1853,1853,3706,1100,87,2693,0.7266594711279007,2438,0.0,2438,585,1853,585,True,1,True,enhanced_local,CAR-AA
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,car_cn,0.8421478683216406,0.8421478683216406,0.7614678899082569,0.7614678899082569,0.7614678899082569,0.7962597987390844,1853,1853,1853,3706,420,203,3489,0.941446303291959,2438,0.0,2438,585,1853,585,True,1,True,enhanced_local,CAR-CN
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,car_ra,0.8421478683216406,0.8421478683216406,0.7614678899082569,0.7614678899082569,0.7614678899082569,0.7962597987390844,1853,1853,1853,3706,1088,93,2711,0.7315164597949272,2438,0.0,2438,585,1853,585,True,1,True,enhanced_local,CAR-RA
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,cn,0.9647290553055952,0.9650956180508614,0.9390178089584458,0.9390178089584458,0.9390178089584458,0.9488550462320504,1853,1853,1853,3706,38,38,3706,1.0,1971,0.0,1971,127,1844,118,True,1,True,local_similarity,CN
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,fl,0.9825042429310552,0.9823783080717694,0.9681597409606044,0.9681597409606044,0.9681597409606044,0.9732351077916478,1853,1853,1853,3706,881,156,2981,0.8043712898003238,1860,0.0,1860,59,1801,7,True,1,True,quasi_local_path,FL-l3
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,fsw,0.9651300321137384,0.9650864440301736,0.9390178089584458,0.9390178089584458,0.9390178089584458,0.9488458776755792,1853,1853,1853,3706,854,266,3118,0.8413383702104695,1971,0.0,1971,127,1844,118,True,1,True,enhanced_local,FSW
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,hdi,0.9649116342063676,0.96492466090344,0.9390178089584458,0.9390178089584458,0.9390178089584458,0.9488191518981606,1853,1853,1853,3706,358,218,3566,0.9622234214786832,1971,0.0,1971,127,1844,118,True,1,True,local_similarity,HDI
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,hpi,0.9639505733374442,0.9647944771812982,0.9390178089584458,0.9390178089584458,0.9390178089584458,0.948592919650417,1853,1853,1853,3706,214,138,3630,0.9794927145169996,1971,0.0,1971,127,1844,118,True,1,True,local_similarity,HPI
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,ia1,0.9655764853116406,0.96543185319004,0.9390178089584458,0.9390178089584458,0.9390178089584458,0.9488947691699292,1853,1853,1853,3706,1220,119,2605,0.7029141932002159,1971,0.0,1971,127,1844,118,True,1,True,enhanced_local,IA1
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,ia2,0.9655162942807484,0.9653803039309368,0.9390178089584458,0.9390178089584458,0.9390178089584458,0.9488880169966392,1853,1853,1853,3706,1213,115,2608,0.7037236913113869,1971,0.0,1971,127,1844,118,True,1,True,enhanced_local,IA2
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,ja,0.9650548571120456,0.9650238276984944,0.9390178089584458,0.9390178089584458,0.9390178089584458,0.948835241275503,1853,1853,1853,3706,433,220,3493,0.9425256341068536,1971,0.0,1971,127,1844,118,True,1,True,local_similarity,JA
